客戶ID,交易日期,交易金額,交易類型,分行代碼
0010033,2024/7/8,800,提款,002
0010006,2024/5/15,"5,000",提款,003
0010024,2024/1/5,８００,存款,003
0010047,2024年5月9日,N/A,提款,007
0010016,20-03-2024,"45,000",存款,002
0010034,12-01-2024,"1,200",轉帳,003
0010032,113/03/11,"NT$128,000",轉帳　,002
0010003,113/01/15,"45,000",消費,002
0010045,2024/2/12, 45000 ,提款,007
0010033,113/03/02,"1,200",消費,007
0010036,2024年7月17日,128000,轉帳,002
0010048,113/02/21,"1,234,567",提款,012
0010018,03-03-2024, 45000 ,消費,002
0010023,113/04/04,128000,存款,003
0010037,2024/2/6,８００,消費,012
0010039,30-01-2024,"NT$128,000", 消費,012
0010018,2024/3/18,34500,提款,012
0010050,2024年2月23日,800,轉帳,012
0010015,2024年3月20日, 128000 ,消費,007
0010023,2024/3/1,"NT$34,500",提款,001
0010046,2024年2月23日,"NT$45,000",提款,012
0010037,2024/4/2,45000,轉帳,012
0010023,18-07-2024,34500,提款,001
0010046,113/07/07,１２８０００,消費,001
0010020,2024-01-09,5000,轉帳,002
0010013,2024-04-26,"1,200",轉帳,012
0010015,113/01/14,"99,999", 提款,012
0010002,2024/6/17,1200,消費,002
0010047,29-04-2024,1200, 存款,007
0010003,22-04-2024, 34500 ,轉帳,012
0010008,113/01/25,800,提款,001
0010042,113/06/19,5000,提款,012
0010021,2024/5/8,"99,999",轉帳　,002
0010009,2024-01-14,"99,999",存款,007
0010050,2024/6/1,３４５００,存款,007
0096879,2024年6月12日,"5,000",消費　,012
0010047,113/03/14,5000,提款,001
0010040,23-05-2024,128000,消費,007
0010024,14-05-2024, 1200 , 消費,007
0010032,113/03/15,45000,消費,007
0010030,2024/7/11,99999, 存款,002
0010016,03-04-2024,1200,消費,001
0010022,113/07/11,128000, 提款,002
0010006,2024-07-09,1200,轉帳,007
0010021,17-01-2024, 800 ,轉帳,001
0010026,2024/6/29, 1234567 ,提款,002
0010041,113/05/10,800,提款,002
0010009,-,８００,轉帳,003
0010019,24-01-2024,45000,存款,002
0010031,2024年7月15日,128000,消費,001
0010037,113/04/29,34500,存款,003
0010045,16-06-2024,-,消費,007
0010016,2024年4月12日,1234567,提款,012
0010038,113/07/14,1200,提款,003
0091624,2024-07-01,"34,500",消費,007
0010009,2024/3/12,99999, 存款,012
0010003,2024/2/23,800,消費,002
0010033,01-01-2024,-,轉帳,007
0010033,2024/7/8,800,提款,002
0010035,2024-03-17,800,存款,002
0010017,2024/7/3,３４５００,消費,012
0010006,113/02/26,N/A,轉帳,003
0010023,28-03-2024,1234567, 提款,007
0010012,2024/3/15,1234567,存款,007
0010015,2024/7/4,-,存款,007
0010019,113/01/28,800, 轉帳,001
0095140,2024-04-17,45000,消費,001
0010008,2024年1月10日,"5,000",提款,012
0010022,2024年5月6日,1200,轉帳,007
0010049,113/03/09,99999,消費,012
0010039,2024-04-29,99999,提款,012
0010008,2024-01-20,45000, 轉帳,007
0010007,2024年3月20日,45000, 提款,002
0010022,2024年1月14日,5000,消費,001
0010038,10-05-2024,1234567,存款,007
0096397,2024年3月8日,,消費,001
0010038,2024/7/4,"NT$99,999",提款,002
0010010,113/05/29,1234567,消費,001
0010048,2024-04-07,99999,提款,001
0010013,2024年5月7日,99999, 消費,007
0010042,2024-05-06,"NT$99,999",存款,003
0010038,2024/1/16,1200, 提款,012
0010027,2024年7月5日,5000,消費,003
0010039,26-02-2024,1234567,提款,001
0010005,,99999,轉帳,007
0010029,24-05-2024,800,轉帳　,007
0010049,2024-01-28,34500, 消費,002
0010037,2024年7月19日,"128,000",消費,001
0010050,2024-01-11,128000,提款,001
0010012,2024年3月28日,１２８０００,提款,001
0010045,2024年3月18日,"99,999",消費,003
0010027,113/05/24,128000,轉帳,003
0010047,113/04/19,800, 消費,001
0010050,113/04/25,"NT$45,000",存款,002
0010001,07-02-2024,1234567,存款　,001
0010040,07-05-2024,1234567,轉帳,007
0010005,-,"99,999",轉帳,002
0098946,2024-03-27,99999,消費,001
0010020,04-04-2024,,轉帳,003
0010037,113/04/03,128000,存款,007
0010035,2024年1月21日,800, 存款,012
0010006, ,34500,轉帳,007
0010010,2024/5/24,"128,000",消費,002
0093165,2024/4/12, 1234567 ,消費,003
0010010,113/06/03,128000,轉帳,001
0010004,113/06/14,5000,消費,012
0010017,29-04-2024,"34,500",轉帳,007
0010006,2024-01-18,"45,000",提款　,001
0010019,2024年1月2日,"34,500",提款,003
0010019,2024-01-06,99999, 轉帳,001
0010007,113/05/12,5000,轉帳,007
0010033,2024-03-30,NT$800,消費,012
0091233,25-06-2024,1200,提款　,003
0010032,2024年3月2日,99999,存款,002
0010005,19-03-2024,N/A,轉帳,012
0010023,113/07/03,９９９９９,提款,003
0010005,2024-04-13,"1,200", 消費,001
0010002,113/03/07,"1,200",消費,007
0010011,2024/2/15,34500,轉帳,002
0010039,113/01/26, 128000 , 轉帳,012
0010022,,"5,000",轉帳,007
0010015,2024/1/9,"NT$128,000",消費,012
0010028,2024-05-20,99999,提款,012
0010035,113/04/03,"NT$34,500",消費,003
0010046,2024年5月14日,"5,000",轉帳,012
0010016,2024/3/14,45000,存款,001
0010048,08-01-2024, 128000 ,消費,003
0010017,2024-06-09,"45,000",提款,002
0010008,28-04-2024,800,消費,012
0010035,2024-01-10, 1234567 ,存款,001
0010015,2024/2/9,,消費,007
0010046,N/A,1200,存款,007
0010029,-,４５０００,提款,003
0010034,2024年6月7日,34500, 提款,001
0010033,11-02-2024,34500,存款,012
0010041,2024-06-18,34500, 提款,007
0010002,113/06/28,800,提款,002
0010008,113/03/18, 128000 ,轉帳,012
0010011,2024-05-01,"NT$1,234,567",存款　,012
0010012,2024年4月21日,5000,消費,002
0010035,2024-05-19,９９９９９,消費,007
0010027,113/05/24,128000,轉帳,003
0010022,113/07/04,800,存款,002
0010029,N/A,45000, 提款,003
0010030,04-06-2024,99999,提款,012
0010020,2024年1月8日,-,消費,001
0010020,2024-06-13,5000,消費　,003
0099078,26-05-2024,34500, 存款,007
0010029,2024-04-25, 5000 ,提款　,001
0010001,113/02/01,45000,轉帳,001
0010008,28-04-2024,800,消費 ,012
0010014,2024/3/1,800, 轉帳,003
0010020,2024年7月2日,,轉帳,001
0010044,2024年6月14日,800,存款,007
0010049,2024/4/17,"99,999",存款,001
0095457,2024-05-01,"NT$34,500",轉帳,003
0010025,2024/5/29,45000,轉帳,007
0010041,113/03/11,"NT$5,000", 消費,003
0010047,2024-03-29,800,存款,003
0010045, ,1234567, 消費,002
0010049,2024-04-26,128000,提款,003
0010028,113/05/13,99999,轉帳,001
0010018,2024/6/28,９９９９９,消費,002
0010001,2024-07-11,45000,提款,002
0010041,2024-06-18,34500, 提款,007
0010012,2024-04-07,99999,提款,007
0010036,2024年5月15日,128000,提款,003
0010024,2024年4月12日,800,消費,012
0010029,N/A,34500,消費,003
0010001,17-03-2024,99999,消費,012
0010025,2024-04-11,"1,234,567",存款,003
0010018,2024年7月5日,34500,轉帳,003
0010007,18-03-2024,5000,存款,003
0010012,2024/7/13,34500,消費,012
0010014,14-07-2024,128000,提款,012
0010022,113/04/11,45000,消費　,001
0010044,2024-07-08,,轉帳,001
0010008,2024年1月19日,5000,轉帳,012
0010031,2024/4/2,99999,存款,012
0010032,16-04-2024, 5000 ,存款,007
0010020,-,45000,提款,003
0010013,2024-05-10,"NT$5,000",消費,003
0010044,113/02/14,45000,存款,012
0010026,2024年2月17日,800,存款,003
